DeviceID;Timestamp;Temperature;GyroX;GyroY;GyroZ;AccelX;AccelY;AccelZ;Dist1;Dist2;Dist3;Err1;Err2;Err3
4.0;1753877968.799708;17.883896;0.69;-1.17;0.16;0.932469;-0.359085;0.008966;89.2;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.804314;17.899909;0.62;-1.17;0.12;0.934221;-0.35888;0.008248;88.9;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.80892;17.874046;0.59;-1.17;0.24;0.933504;-0.360381;0.009914;90.3;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.8168;17.886719;0.63;-1.19;0.14;0.932446;-0.360998;0.009394;89.0;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.821406;17.893299;0.73;-1.15;0.13;0.933004;-0.362128;0.009298;89.6;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.826012;17.867374;0.51;-1.2;0.2;0.929094;-0.362754;0.008659;89.5;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.830618;17.898831;0.63;-1.17;0.13;0.932593;-0.357087;0.007851;89.5;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.835224;17.859894;0.68;-1.18;0.23;0.934467;-0.359107;0.008041;88.7;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.83983;17.88638;0.64;-1.14;0.13;0.934341;-0.359643;0.011134;89.0;0.0;0.0;1.0;0.0;0.0
4.0;1753877968.844436;17.880023;0.65;-1.21;0.18;0.928602;-0.360103;0.010242;88.8;0.0;0.0;1.0;0.0;0.0
