sep=,
PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
546, 2171599439, -77.54214477539062, 41.65168762207031, -144.64939880371094, -6.639018535614014, -7.4409308433532715, 1.6701101064682007, -0.5306885838508606, -0.6229766011238098, 0.6016271710395813, 
547, 2171607772, -77.53425598144531, 41.65431213378906, -144.64501953125, -6.05982780456543, -7.497132301330566, 1.6575778722763062, 0.5280373692512512, -0.5460057854652405, 1.8837729692459106, 
548, 2171616105, -77.52821350097656, 41.660614013671875, -144.64425659179688, -5.919126987457275, -7.277604103088379, 1.5400755405426025, 0.6443517804145813, -0.15275049209594727, 2.2863523960113525, 
549, 2171624438, -77.53046417236328, 41.667152404785156, -144.6529083251953, -6.4556355476379395, -6.576980113983154, 1.2673181295394897, 0.3519139587879181, 0.697808563709259, 2.0918374061584473, 
550, 2171632771, -77.53076171875, 41.66472244262695, -144.64930725097656, -6.8762640953063965, -6.985909938812256, 1.3941963911056519, -0.3529513478279114, -0.6360654234886169, 1.3203368186950684, 
551, 2171641104, -77.54064178466797, 41.65574645996094, -144.65298461914062, -6.792675971984863, -7.354403018951416, 1.5541411638259888, -0.9590609073638916, -0.13909810781478882, 0.36830708384513855, 
552, 2171649437, -77.53666687011719, 41.65211868286133, -144.6472930908203, -6.249267101287842, -7.579317092895508, 1.7019760608673096, 0.012858347035944462, -0.8315021395683289, 1.2154210805892944, 
553, 2171657770, -77.52862548828125, 41.65913772583008, -144.6475830078125, -5.925440788269043, -7.274701118469238, 1.4905192852020264, 0.9213953018188477, -0.020581038668751717, 2.306715726852417, 
554, 2171666103, -77.52579498291016, 41.665138244628906, -144.65052795410156, -6.252852916717529, -6.79962682723999, 1.4378719329833984, 0.5624117255210876, 0.1693100929260254, 2.1812314987182617, 
555, 2171674436, -77.5301742553711, 41.66720199584961, -144.6551971435547, -6.880934715270996, -6.843525409698486, 1.5249360799789429, -0.21939875185489655, 0.23460081219673157, 1.6418980360031128, 
556, 2171682769, -77.54116821289062, 41.658355712890625, -144.6576385498047, -6.816816806793213, -7.310849189758301, 1.4594732522964478, -1.1524227857589722, -0.2691671550273895, 0.4492736756801605, 
557, 2171691102, -77.53984832763672, 41.652713775634766, -144.6527862548828, -6.447193622589111, -7.5002851486206055, 1.546787977218628, -0.29629266262054443, -0.8007137775421143, 0.9234187602996826, 
558, 2171699435, -77.53523254394531, 41.6575927734375, -144.65357971191406, -6.021383285522461, -7.462625980377197, 1.7269110679626465, 0.5985534191131592, -0.05408445745706558, 2.0906338691711426, 
559, 2171707768, -77.52923583984375, 41.66336441040039, -144.65296936035156, -6.081073760986328, -7.024382591247559, 1.5279715061187744, 0.6025236248970032, -0.13328367471694946, 2.1783881187438965, 
560, 2171716101, -77.53462982177734, 41.66859817504883, -144.66244506835938, -6.743031024932861, -6.632923603057861, 1.3560110330581665, 0.08017254620790482, 0.7068759799003601, 1.9665327072143555, 
561, 2171724434, -77.53739929199219, 41.66200256347656, -144.6582489013672, -6.769243240356445, -7.056186676025391, 1.2740999460220337, -0.7349621057510376, -0.7663906812667847, 0.7984981536865234, 
562, 2171732767, -77.54307556152344, 41.65364456176758, -144.65780639648438, -6.6630377769470215, -7.512187480926514, 1.7301009893417358, -0.7410582900047302, -0.5147053003311157, 0.5647938847541809, 
563, 2171741100, -77.5357894897461, 41.65486145019531, -144.65359497070312, -6.145878791809082, -7.5173563957214355, 1.6723417043685913, 0.46909910440444946, -0.5634491443634033, 1.7161026000976562, 
564, 2171749433, -77.52943420410156, 41.66135787963867, -144.65194702148438, -5.910110950469971, -7.3025946617126465, 1.5414944887161255, 0.6080819368362427, -0.2306433767080307, 2.3275399208068848, 
565, 2171757766, -77.53109741210938, 41.668067932128906, -144.6602325439453, -6.516141891479492, -6.589961051940918, 1.340198040008545, 0.39194899797439575, 0.6709904670715332, 2.116222381591797, 
566, 2171766099, -77.5304183959961, 41.66633605957031, -144.65570068359375, -6.906985282897949, -6.992068290710449, 1.433258056640625, -0.298546701669693, -0.6894711852073669, 1.4187982082366943, 
567, 2171774432, -77.54025268554688, 41.6575813293457, -144.65829467773438, -6.818011283874512, -7.38608980178833, 1.4504320621490479, -1.0416924953460693, -0.22828686237335205, 0.4133368730545044, 
568, 2171782765, -77.5365219116211, 41.65325927734375, -144.65313720703125, -6.262407302856445, -7.570533275604248, 1.645825982093811, -0.06532910466194153, -0.9081398248672485, 1.1495413780212402, 
569, 2171791098, -77.52855682373047, 41.659969329833984, -144.65318298339844, -5.934290885925293, -7.269292831420898, 1.5613861083984375, 0.8908374905586243, -0.049422670155763626, 2.27638840675354, 
570, 2171799431, -77.52456665039062, 41.666481018066406, -144.6551513671875, -6.158959865570068, -6.857081413269043, 1.4483884572982788, 0.5497326850891113, 0.018493475392460823, 2.2736988067626953, 
571, 2171807764, -77.52835083007812, 41.670738220214844, -144.660888671875, -6.900168418884277, -6.849759578704834, 1.4503811597824097, -0.06179434806108475, 0.38654443621635437, 1.8781383037567139, 
572, 2171816097, -77.53553009033203, 41.663185119628906, -144.662353515625, -6.82495641708374, -7.223992347717285, 1.3455928564071655, -0.9259930849075317, -0.49203670024871826, 0.6582602858543396, 
573, 2171824430, -77.53340911865234, 41.65737533569336, -144.65670776367188, -6.540452480316162, -7.408857345581055, 1.6257481575012207, -0.26335275173187256, -0.8755841851234436, 0.9190386533737183, 
574, 2171832763, -77.52916717529297, 41.66038131713867, -144.65789794921875, -6.015763282775879, -7.429009914398193, 1.648267388343811, 0.5781388878822327, -0.07583094388246536, 1.865202784538269, 
575, 2171841096, -77.52037048339844, 41.666709899902344, -144.65391540527344, -5.973173141479492, -7.185683727264404, 1.5641554594039917, 0.6686851978302002, -0.41258126497268677, 2.3086109161376953, 
576, 2171849429, -77.52513885498047, 41.67313766479492, -144.662841796875, -6.632534027099609, -6.588415622711182, 1.3529103994369507, 0.17837750911712646, 0.7594876289367676, 2.1035690307617188, 
577, 2171857762, -77.52473449707031, 41.66825866699219, -144.65647888183594, -6.879969120025635, -7.059112071990967, 1.3222030401229858, -0.5260010957717896, -0.9112135171890259, 1.0429604053497314, 
578, 2171866095, -77.5323486328125, 41.658935546875, -144.6582794189453, -6.747684955596924, -7.375532150268555, 1.5975662469863892, -0.794361412525177, -0.33678877353668213, 0.4060111939907074, 
579, 2171874428, -77.5257797241211, 41.65901184082031, -144.6527862548828, -6.110699653625488, -7.6059956550598145, 1.6406978368759155, 0.2798354923725128, -0.7078877687454224, 1.6061149835586548, 
580, 2171882761, -77.51970672607422, 41.665653228759766, -144.6537322998047, -5.9810357093811035, -7.3174591064453125, 1.5343235731124878, 0.701804518699646, -0.09096895903348923, 2.317140817642212, 
581, 2171891094, -77.5197525024414, 41.67062759399414, -144.6595916748047, -6.4515767097473145, -6.643746376037598, 1.342090368270874, 0.39571431279182434, 0.4151042699813843, 1.9589509963989258, 
582, 2171899427, -77.51972961425781, 41.66780471801758, -144.6603546142578, -6.8877363204956055, -6.892678737640381, 1.5429757833480835, -0.2565137445926666, -0.5819681882858276, 1.2608094215393066, 
583, 2171907760, -77.53015899658203, 41.65961456298828, -144.662109375, -6.664475440979004, -7.300169944763184, 1.5233266353607178, -1.1766794919967651, -0.28543221950531006, 0.4954048991203308, 
